title,governorate,city,maker,model,model_year,mileage,car_type,price,minimum_down_payment,link
Mercedes C200 AMG,Giza,Sheikh Zayed,Mercedes,C200,2022,15000.0,Automatic,1000000.0,,https://contactcars.com/en/used-cars/mercedes-c200/de5ed1e2e26f?status=Used?dealer=1519355
النترا MD اوتوماتيك بحالة فوق الممتازة,Cairo,New Cairo & 5th Settlement,Hyundai,Elantra MD,2012,180000.0,Automatic,615000.0,,https://contactcars.com/en/used-cars/hyundai-elantra_md/98a61dd5c08e?status=Used
E180 ضمان الوكيل فبريكه كامله المواصفات,Giza,Sheikh Zayed,Mercedes,E 180,2019,90000.0,Automatic,3200000.0,,https://contactcars.com/en/used-cars/mercedes-e_180/7d7c4787170f?status=Used
بيجو3008 ACTIVE,Cairo,Nasr City,Peugeot,3008,2019,127000.0,Automatic,500000.0,,https://contactcars.com/en/used-cars/peugeot-3008/e28396299620?status=Used?dealer=1519264
موديل 2012 فبريكه بالكامل عداد ١٨٠ طقم كاوتش ران فلات جنوط جديده,Cairo,Madinaty,BMW,528i,2012,190000.0,Automatic,1390000.0,,https://contactcars.com/en/used-cars/bmw-528i/c9c8b46cd3a0?status=Used
Nissan Sunny Super Saloon 2023,not specified,not specified,Nissan,Sunny,2023,10000.0,Automatic,740000.0,148000.0,https://contactcars.com/en/used-cars/nissan-sunny/ec9c00baf02a?status=Used?dealer=1519471
Suzuki Ciaz GLX 2022,not specified,not specified,Suzuki,Ciaz,2022,8000.0,Automatic,920000.0,184000.0,https://contactcars.com/en/used-cars/suzuki-ciaz/79c0785c13e9?status=Used?dealer=1519471
BMW 520i M sport Stock Factory Paint,Cairo,Zahraa Maadi,BMW,520i,2017,134000.0,Automatic,2150000.0,,https://contactcars.com/en/used-cars/bmw-520i/0e4abe259840?status=Used
كورولا ٢٠٢٢,Cairo,El Sherouk City,Toyota,Corolla,2022,83000.0,Automatic,1100000.0,220000.0,https://contactcars.com/en/used-cars/toyota-corolla/87aa5a458335?status=Used
ميني كوبر اس أعلى فئة أول مالك جميع الكماليات فبريقة بالكامل.,Cairo,New Cairo & 5th Settlement,Mini,Cooper S,2011,174000.0,Automatic,699000.0,,https://contactcars.com/en/used-cars/mini-cooper_s/f948484a4926?status=Used
